PWDR PG3_45611.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   5   3  -1   4   0.83945  18952.43  37.55373     0.152     0.187   303.265     0.159     0.083     1.187     0.020
   4   3   1   4   0.83909  18944.14  37.52001     0.109     0.135   302.735     0.159     0.083     1.186     0.014
   6   0  -5   2   0.83668  18889.90  37.29977     0.499     0.599   149.641     0.159     0.084     1.183     0.032
   4   4  -1   4   0.83542  18861.48  37.18471     0.535     0.576   297.485     0.159     0.084     1.181     0.069
   1   0   5   2   0.83527  18858.04  37.17081     0.435     0.462   148.634     0.160     0.084     1.181     0.028
   3   4   1   4   0.83514  18855.12  37.15901     0.492     0.517   297.085     0.160     0.084     1.181     0.063
   6   2  -3   4   0.83486  18848.67  37.13294     3.856     3.956   296.678     0.160     0.084     1.180     0.492
   3   2   3   4   0.83377  18824.25  37.03430     4.021     4.038   295.143     0.160     0.084     1.179     0.511
   6   1  -1   4   0.83281  18802.57  36.94690     2.149     2.213   293.786     0.160     0.084     1.177     0.272
   5   1   1   4   0.83238  18792.68  36.90707     2.066     2.126   293.169     0.160     0.084     1.177     0.260
   5   3  -4   4   0.83219  18788.47  36.89015     0.039     0.040   292.906     0.160     0.084     1.176     0.005
   4   4  -3   4   0.83158  18774.76  36.83498     1.356     1.364   292.052     0.160     0.084     1.175     0.170
   1   3   4   4   0.83124  18766.96  36.80364     0.112     0.111   291.567     0.160     0.084     1.175     0.014
   1   4   3   4   0.83099  18761.34  36.78103     1.622     1.588   291.218     0.160     0.084     1.175     0.203
   5   0  -6   2   0.83096  18760.59  36.77803     0.941     0.920   145.586     0.160     0.084     1.175     0.059
   1   0  -6   2   0.83001  18739.17  36.69206     0.622     0.590   144.922     0.161     0.085     1.173     0.039
   3   4  -4   4   0.82799  18693.66  36.50979     1.049     1.096   287.038     0.161     0.085     1.170     0.130
   1   4  -4   4   0.82768  18686.59  36.48153     1.267     1.344   286.604     0.161     0.085     1.170     0.156
   4   3  -5   4   0.82757  18684.17  36.47186     0.009     0.010   286.456     0.161     0.085     1.170     0.001
   1   3  -5   4   0.82698  18670.94  36.41902     0.034     0.036   285.645     0.161     0.085     1.169     0.004
   2   5  -1   4   0.82666  18663.70  36.39015     0.013     0.014   285.203     0.161     0.085     1.169     0.002
   1   5   1   4   0.82655  18661.06  36.37962     0.024     0.024   285.042     0.161     0.085     1.168     0.003
   1   5  -2   4   0.82515  18629.43  36.25357     0.001     0.001   283.114     0.161     0.085     1.166     0.000
   6   2  -2   4   0.82440  18612.70  36.18698     0.017     0.016   282.098     0.162     0.085     1.165     0.002
   4   2   2   4   0.82363  18595.26  36.11771     0.047     0.045   281.042     0.162     0.086     1.164     0.006
   6   1  -5   4   0.82155  18548.30  35.93155     3.416     3.443   278.214     0.162     0.086     1.161     0.409
   3   2  -6   4   0.82109  18537.94  35.89057     4.149     4.150   277.593     0.162     0.086     1.161     0.495
   1   1   5   4   0.82022  18518.14  35.81231     3.817     3.742   276.409     0.162     0.086     1.159     0.454
   6   2  -4   4   0.81889  18488.09  35.69376     0.097     0.093   274.619     0.163     0.086     1.158     0.011
   2   2   4   4   0.81768  18460.78  35.58623     0.651     0.663   273.000     0.163     0.087     1.156     0.076
   5   1  -6   4   0.81613  18425.84  35.44900     2.960     3.269   270.939     0.163     0.087     1.154     0.345
   1   1  -6   4   0.81523  18405.55  35.36946     3.185     3.529   269.747     0.163     0.087     1.152     0.370
   2   5   0   4   0.81471  18393.89  35.32383     0.367     0.407   269.065     0.164     0.087     1.152     0.042
   2   5  -2   4   0.81293  18353.53  35.16609     0.316     0.384   266.711     0.164     0.087     1.149     0.036
   0   5   2   4   0.81278  18350.18  35.15303     0.149     0.183   266.517     0.164     0.087     1.149     0.017
   4   2  -6   4   0.80920  18269.33  34.83853     0.002     0.004   261.850     0.165     0.088     1.144     0.000
   2   2  -6   4   0.80876  18259.43  34.80016     0.296     0.649   261.283     0.165     0.088     1.143     0.033
   4   4   0   4   0.79914  18042.36  33.96581     0.276     0.325   249.078     0.167     0.090     1.130     0.030
   4   4  -4   4   0.79246  17891.41  33.39378     0.199     0.247   240.847     0.168     0.091     1.120     0.021
   0   4   4   4   0.79191  17879.02  33.34712     0.017     0.020   240.180     0.168     0.091     1.119     0.002
   5   3   0   4   0.79130  17865.34  33.29567     3.347     3.819   239.446     0.168     0.091     1.119     0.345
   6   2  -1   4   0.79030  17842.68  33.21059     1.677     1.824   238.234     0.169     0.091     1.117     0.172
