"limits",0.442950750076346,4.873917707609793
"masked X","X","obs","calc","bkg","diff"
--,3693.3335271104997,73.87143110252497,0.0,0.0,-27.713930553331338
--,3696.2869765285,76.05002929572073,0.0,0.0,-27.713930553331338
--,3699.2427877325,78.43156000403737,0.0,0.0,-27.713930553331338
--,3702.2009626110003,75.65341446001855,0.0,0.0,-27.713930553331338
--,3705.1615030545,73.26645283565203,0.0,0.0,-27.713930553331338
--,3708.1244109544996,76.95674078144968,0.0,0.0,-27.713930553331338
--,3711.0896882039997,72.87868148867909,0.0,0.0,-27.713930553331338
--,3714.0573366979997,75.02761016571368,0.0,0.0,-27.713930553331338
--,3717.0273583324997,74.63599409201842,0.0,0.0,-27.713930553331338
--,3719.9997550055,74.51543787234456,0.0,0.0,-27.713930553331338
--,3722.9745286165,74.17182220224483,0.0,0.0,-27.713930553331338
--,3725.9516810655005,73.5626185757029,0.0,0.0,-27.713930553331338
--,3728.9312142550007,71.1947384769551,0.0,0.0,-27.713930553331338
--,3731.9131300890003,74.32408770459752,0.0,0.0,-27.713930553331338
--,3734.8974304724998,74.06048743201298,0.0,0.0,-27.713930553331338
--,3737.884117313,72.61292762404177,0.0,0.0,-27.713930553331338
--,3740.8731925185,74.30006922770211,0.0,0.0,-27.713930553331338
--,3743.8646579984998,71.97970061625817,0.0,0.0,-27.713930553331338
--,3746.8585156649997,77.07598840952446,0.0,0.0,-27.713930553331338
--,3749.854767431,73.31278359299493,0.0,0.0,-27.713930553331338
--,3752.8534152105003,75.65989090542911,0.0,0.0,-27.713930553331338
--,3755.8544609200003,75.25557878176198,0.0,0.0,-27.713930553331338
--,3758.857906477,70.44880593552914,0.0,0.0,-27.713930553331338
--,3761.8637538000003,77.23963167286176,0.0,0.0,-27.713930553331338
--,3764.87200481,73.61482686510293,0.0,0.0,-27.713930553331338
--,3767.8826614294994,72.32229165188244,0.0,0.0,-27.713930553331338
--,3770.8957255819996,75.30746106914343,0.0,0.0,-27.713930553331338
--,3773.9111991925,75.7830913127364,0.0,0.0,-27.713930553331338
--,3776.9290841879993,74.9425120560449,0.0,0.0,-27.713930553331338
--,3779.949382497,72.77944408919127,0.0,0.0,-27.713930553331338
--,3782.9720960490004,75.14032426903945,0.0,0.0,-27.713930553331338
--,3785.9972267755,73.78845896895528,0.0,0.0,-27.713930553331338
--,3789.0247766095,71.71593955358398,0.0,0.0,-27.713930553331338
--,3792.054747485,75.67313362504761,0.0,0.0,-27.713930553331338
--,3795.0871413385,75.3604470581628,0.0,0.0,-27.713930553331338
--,3798.1219601075,75.82328062085806,0.0,0.0,-27.713930553331338
--,3801.1592057315,76.5352127406202,0.0,0.0,-27.713930553331338
--,3804.1988801509997,75.97684161472822,0.0,0.0,-27.713930553331338
--,3807.2409853074996,73.54648784337552,0.0,0.0,-27.713930553331338
--,3810.2855231455,74.488101399318,0.0,0.0,-27.713930553331338
--,3813.3324956105007,73.75192917295588,0.0,0.0,-27.713930553331338
--,3816.3819046490003,76.67959289294639,0.0,0.0,-27.713930553331338
--,3819.4337522095,71.81928796151317,0.0,0.0,-27.713930553331338
--,3822.4880402425006,73.16509278784987,0.0,0.0,-27.713930553331338
--,3825.544770699,77.65035590311045,0.0,0.0,-27.713930553331338
--,3828.6039455319997,74.04357603695115,0.0,0.0,-27.713930553331338
--,3831.6655666965,76.68970169983609,0.0,0.0,-27.713930553331338
--,3834.729636149,76.65240340009596,0.0,0.0,-27.713930553331338
--,3837.7961558469997,75.7755866809621,0.0,0.0,-27.713930553331338
--,3840.86512775,72.73959494114723,0.0,0.0,-27.713930553331338
--,3843.936553819,74.06620909634516,0.0,0.0,-27.713930553331338
--,3847.0104360159994,76.36960857175485,0.0,0.0,-27.713930553331338
--,3850.0867763059996,76.22103704610767,0.0,0.0,-27.713930553331338
--,3853.1655766545,76.68996200244459,0.0,0.0,-27.713930553331338
--,3856.246839028,75.71879404817994,0.0,0.0,-27.713930553331338
--,3859.3305653954994,75.5041992876095,0.0,0.0,-27.713930553331338
--,3862.4167577279995,73.43612965741826,0.0,0.0,-27.713930553331338
--,3865.5054179969998,73.00080008487929,0.0,0.0,-27.713930553331338
--,3868.5965481759995,76.67070516894047,0.0,0.0,-27.713930553331338
--,3871.6901502405003,72.644681082167,0.0,0.0,-27.713930553331338
--,3874.7862261665005,71.70071932384708,0.0,0.0,-27.713930553331338
--,3877.884777933,75.16996480698964,0.0,0.0,-27.713930553331338
--,3880.9858075194998,74.39459529027938,0.0,0.0,-27.713930553331338
--,3884.0893169075,73.9207629432105,0.0,0.0,-27.713930553331338
--,3887.1953080804997,73.100190243859,0.0,0.0,-27.713930553331338
--,3890.3037830219996,76.02579762554723,0.0,0.0,-27.713930553331338
--,3893.414743719,73.12950388746911,0.0,0.0,-27.713930553331338
--,3896.5281921595006,74.07138048488876,0.0,0.0,-27.713930553331338
--,3899.6441303320003,76.37228152678881,0.0,0.0,-27.713930553331338
--,3902.7625602280004,74.15002647054985,0.0,0.0,-27.713930553331338
--,3905.8834838400003,76.60910853907001,0.0,0.0,-27.713930553331338
--,3909.006903162,75.36616201613212,0.0,0.0,-27.713930553331338
--,3912.1328201905003,75.1541681165122,0.0,0.0,-27.713930553331338
--,3915.2612369220005,76.67096705560064,0.0,0.0,-27.713930553331338
--,3918.3921553555,76.42087319511175,0.0,0.0,-27.713930553331338
--,3921.5255774919997,77.3051568766107,0.0,0.0,-27.713930553331338
--,3924.661505333,79.3324517076058,0.0,0.0,-27.713930553331338
--,3927.799940883,74.48276145014609,0.0,0.0,-27.713930553331338
--,3930.940886147,76.28115988450209,0.0,0.0,-27.713930553331338
--,3934.0843431314997,73.91766775969542,0.0,0.0,-27.713930553331338
--,3937.2303138455,76.80792971514394,0.0,0.0,-27.713930553331338
--,3940.378800299,73.84482883186415,0.0,0.0,-27.713930553331338
--,3943.529804504,72.78954691244398,0.0,0.0,-27.713930553331338
--,3946.6833284740005,73.30385573587563,0.0,0.0,-27.713930553331338
--,3949.8393742235,75.98610651388562,0.0,0.0,-27.713930553331338
--,3952.997943769,73.13660079019262,0.0,0.0,-27.713930553331338
--,3956.1590391295,72.80420724166717,0.0,0.0,-27.713930553331338
--,3959.3226623245,76.58897623598759,0.0,0.0,-27.713930553331338
--,3962.4888153745,72.73211605427379,0.0,0.0,-27.713930553331338
--,3965.6575003035,74.82945015899536,0.0,0.0,-27.713930553331338
--,3968.8287191365,73.89548818826734,0.0,0.0,-27.713930553331338
--,3972.0024738989996,74.57269141544913,0.0,0.0,-27.713930553331338
--,3975.1787666190003,75.78959853601982,0.0,0.0,-27.713930553331338
--,3978.357599326,75.1329103678109,0.0,0.0,-27.713930553331338
--,3981.5389740515,73.74346025925561,0.0,0.0,-27.713930553331338
--,3984.7228928285003,75.28891994457655,0.0,0.0,-27.713930553331338
--,3987.909357691,74.34539706527156,0.0,0.0,-27.713930553331338
--,3991.0983706744996,76.41634950389319,0.0,0.0,-27.713930553331338
--,3994.2899338175002,76.19821351120264,0.0,0.0,-27.713930553331338
--,3997.4840491590003,74.19883949198221,0.0,0.0,-27.713930553331338
--,4000.68071874,76.21690519699203,0.0,0.0,-27.713930553331338
--,4003.8799446030002,72.56672862920136,0.0,0.0,-27.713930553331338
--,4007.081728792,75.67478719932353,0.0,0.0,-27.713930553331338
