PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   3   0  -6   2   0.89038  20102.31  37.18614     3.975     3.768   190.967     0.150     0.080     1.259     2.831
   3   4  -3   4   0.88991  20091.75  37.14172     3.819     3.721   381.132     0.150     0.080     1.258     5.428
   4   0   2   2   0.88973  20087.60  37.12427     0.005     0.005   190.408     0.150     0.080     1.258     0.003
   0   4   3   4   0.88943  20080.97  37.09638     3.843     3.758   380.314     0.150     0.080     1.257     5.451
   6   1  -3   4   0.88571  19996.84  36.74373     0.067     0.076   373.980     0.150     0.081     1.252     0.093
   6   0  -4   2   0.88526  19986.79  36.70176     0.067     0.079   186.615     0.151     0.081     1.251     0.046
   3   1   3   4   0.88430  19964.98  36.61067     0.103     0.132   371.603     0.151     0.081     1.250     0.143
   2   0   4   2   0.88359  19949.12  36.54447     0.279     0.391   185.211     0.151     0.081     1.249     0.193
   4   0  -6   2   0.87526  19760.96  35.76415     0.001     0.002   178.322     0.152     0.082     1.237     0.001
   2   0  -6   2   0.87465  19747.28  35.70776     0.252     0.368   177.828     0.152     0.082     1.236     0.167
   6   1  -2   4   0.87265  19702.05  35.52161     0.290     0.309   352.409     0.153     0.083     1.234     0.382
   3   1  -6   4   0.87226  19693.30  35.48567     0.000     0.000   351.783     0.153     0.083     1.233     0.000
   4   1   2   4   0.87165  19679.46  35.42888     0.358     0.388   350.796     0.153     0.083     1.232     0.468
   6   1  -4   4   0.86745  19584.65  35.04085     0.241     0.254   344.084     0.154     0.083     1.226     0.309
   5   3  -2   4   0.86605  19553.08  34.91213     2.378     2.411   341.870     0.154     0.083     1.224     3.032
   5   2   0   4   0.86602  19552.35  34.90918     0.504     0.511   341.819     0.154     0.083     1.224     0.643
   2   1   4   4   0.86588  19549.20  34.89634     0.046     0.047   341.599     0.154     0.084     1.224     0.059
   3   3   2   4   0.86527  19535.41  34.84022     2.401     2.404   340.636     0.154     0.084     1.223     3.050
   5   3  -3   4   0.86392  19505.01  34.71665     3.337     3.150   338.521     0.154     0.084     1.221     4.214
   2   3   3   4   0.86290  19482.00  34.62329     3.458     3.119   336.926     0.154     0.084     1.220     4.346
   4   1  -6   4   0.85803  19372.03  34.17884     0.501     0.396   329.382     0.155     0.085     1.213     0.616
   2   1  -6   4   0.85746  19359.14  34.12695     0.086     0.073   328.507     0.155     0.085     1.212     0.106
   3   3  -5   4   0.85645  19336.41  34.03555     2.981     2.750   326.967     0.156     0.085     1.211     3.636
   2   3  -5   4   0.85622  19331.07  34.01408     3.050     2.827   326.605     0.156     0.085     1.210     3.715
   5   2  -5   4   0.85553  19315.53  33.95167     1.310     1.206   325.556     0.156     0.085     1.209     1.590
   1   5   0   4   0.85484  19299.89  33.88895     2.938     2.693   324.503     0.156     0.085     1.208     3.556
   1   5  -1   4   0.85443  19290.62  33.85179     3.061     2.795   323.880     0.156     0.085     1.208     3.698
   0   5   1   4   0.85438  19289.56  33.84753     3.103     2.830   323.809     0.156     0.085     1.208     3.747
   0   2   5   4   0.85435  19288.94  33.84505     1.315     1.198   323.767     0.156     0.085     1.208     1.588
   4   4  -2   4   0.84815  19148.97  33.28671     0.345     0.316   314.471     0.157     0.086     1.199     0.405
   6   0  -1   2   0.84779  19140.76  33.25409     1.570     1.528   156.966     0.157     0.086     1.198     0.919
   2   4   2   4   0.84760  19136.52  33.23729     0.284     0.284   313.654     0.157     0.086     1.198     0.332
   5   0   1   2   0.84728  19129.36  33.20887     1.625     1.673   156.592     0.157     0.086     1.198     0.949
   2   4  -4   4   0.84283  19028.90  32.81170     0.333     0.308   306.657     0.158     0.087     1.191     0.380
   5   3  -1   4   0.83938  18950.91  32.50518     0.095     0.116   301.660     0.159     0.087     1.187     0.107
   4   3   1   4   0.83898  18941.86  32.46970     0.062     0.077   301.084     0.159     0.087     1.186     0.070
   6   0  -5   2   0.83833  18927.16  32.41212     0.485     0.594   150.075     0.159     0.087     1.185     0.271
   1   0   5   2   0.83678  18892.16  32.27529     0.414     0.458   148.968     0.159     0.088     1.183     0.230
   4   4  -1   4   0.83589  18872.26  32.19765     0.551     0.585   296.683     0.159     0.088     1.182     0.610
   3   4   1   4   0.83559  18865.31  32.17053     0.471     0.490   296.246     0.159     0.088     1.181     0.520
   6   2  -3   4   0.83520  18856.62  32.13666     3.525     3.581   295.700     0.160     0.088     1.181     3.887
   3   2   3   4   0.83402  18829.90  32.03267     3.448     3.421   294.028     0.160     0.088     1.179     3.781
   5   0  -6   2   0.83361  18820.76  31.99713     0.740     0.738   146.729     0.160     0.088     1.178     0.405
   5   3  -4   4   0.83360  18820.50  31.99612     0.027     0.027   293.441     0.160     0.088     1.178     0.030
   4   4  -3   4   0.83284  18803.24  31.92907     1.153     1.170   292.366     0.160     0.088     1.177     1.257
   1   0  -6   2   0.83257  18797.14  31.90542     0.711     0.729   145.994     0.160     0.088     1.177     0.387
   1   3   4   4   0.83256  18796.88  31.90441     0.028     0.028   291.971     0.160     0.088     1.177     0.030
   1   4   3   4   0.83218  18788.51  31.87192     1.196     1.249   291.451     0.160     0.088     1.176     1.301
   6   1  -1   4   0.83210  18786.67  31.86479     2.036     2.132   291.337     0.160     0.088     1.176     2.212
   5   1   1   4   0.83163  18775.89  31.82301     1.812     1.907   290.669     0.160     0.088     1.176     1.965
   3   4  -4   4   0.82989  18736.65  31.67114     1.028     1.002   288.246     0.161     0.089     1.173     1.105
   4   3  -5   4   0.82980  18734.78  31.66391     0.007     0.007   288.131     0.161     0.089     1.173     0.008
   1   4  -4   4   0.82954  18728.87  31.64109     1.066     1.008   287.768     0.161     0.089     1.173     1.144
   1   3  -5   4   0.82916  18720.21  31.60764     0.022     0.019   287.236     0.161     0.089     1.172     0.023
   2   5  -1   4   0.82779  18689.25  31.48829     0.011     0.008   285.341     0.161     0.089     1.170     0.012
   1   5   1   4   0.82766  18686.36  31.47714     0.019     0.014   285.164     0.161     0.089     1.170     0.021
   1   5  -2   4   0.82654  18661.14  31.38012     0.000     0.000   283.628     0.161     0.089     1.168     0.000
   6   2  -2   4   0.82423  18608.83  31.17935     0.019     0.019   280.460     0.162     0.090     1.165     0.020
