PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_monoclinic  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   2   4   4   0.92202  20816.69  73.41377     3.888     4.009   461.124     0.145     0.076     1.303    48.863
   4   2  -5   4   0.91720  20707.91  54.80828     3.781     4.048   451.560     0.145     0.077     1.297    46.538
   1   2  -5   4   0.91714  20706.47  73.02061     3.783     4.033   451.434     0.145     0.077     1.297    46.550
   4   3   0   4   0.91509  20660.20  50.63817     0.125     0.138   447.413     0.146     0.077     1.294     1.521
   5   1  -5   4   0.90938  20531.28  51.78728     2.543     2.508   436.348     0.147     0.078     1.285    30.247
   0   1   5   4   0.90928  20528.94  95.50347     2.962     3.010   436.149     0.147     0.078     1.285    35.211
   4   3  -4   4   0.90666  20469.78  49.99603     0.241     0.261   431.143     0.147     0.078     1.282     2.832
   0   3   4   4   0.90659  20468.29  60.98495     0.539     0.578   431.018     0.147     0.078     1.282     6.335
   6   0  -3   2   0.90403  20410.55  47.58679     3.838     3.948   213.087     0.147     0.079     1.278    22.290
   3   0   3   2   0.90392  20408.07  68.19473     3.787     3.893   212.984     0.147     0.079     1.278    21.984
   3   4   0   4   0.89415  20187.33  47.54987     4.213     4.039   407.834     0.149     0.080     1.264    46.833
   3   0  -6   2   0.89032  20101.09  67.16584     4.119     3.966   200.454     0.150     0.080     1.259    22.503
   6   0  -2   2   0.89035  20101.70  46.56320     0.008     0.008   200.478     0.150     0.080     1.259     0.046
   4   0   2   2   0.89027  20099.94  57.70562     0.036     0.035   200.408     0.150     0.080     1.258     0.198
   3   4  -3   4   0.88969  20086.77  47.22133     4.164     4.036   399.767     0.150     0.080     1.258    45.367
   0   4   3   4   0.88966  20085.98  51.17890     4.176     4.060   399.704     0.150     0.080     1.258    45.497
   6   1  -3   4   0.88509  19982.84  45.68084     0.117     0.136   391.557     0.151     0.081     1.251     1.253
   3   1   3   4   0.88498  19980.52  64.07066     0.083     0.093   391.375     0.151     0.081     1.251     0.884
   6   0  -4   2   0.88450  19969.62  46.13427     0.109     0.123   195.261     0.151     0.081     1.250     0.582
   2   0   4   2   0.88438  19966.87  80.25880     0.584     0.638   195.153     0.151     0.081     1.250     3.106
   4   0  -6   2   0.87493  19753.51  56.61940     0.000     0.001   186.944     0.152     0.082     1.237     0.002
   2   0  -6   2   0.87488  19752.51  79.43227     0.550     0.573   186.906     0.152     0.082     1.237     2.801
   3   1  -6   4   0.87221  19692.16  63.15033     0.002     0.002   369.265     0.153     0.083     1.233     0.016
   6   1  -2   4   0.87224  19692.73  44.75371     0.404     0.425   369.307     0.153     0.083     1.233     4.067
   4   1   2   4   0.87216  19691.08  55.00002     0.521     0.550   369.184     0.153     0.083     1.233     5.247
   6   1  -4   4   0.86673  19568.50  44.36471     0.283     0.302   360.076     0.154     0.083     1.225     2.780
   2   1   4   4   0.86662  19565.91  73.48510     0.031     0.033   359.885     0.154     0.083     1.225     0.304
   5   2   0   4   0.86608  19553.64  46.55797     0.507     0.526   358.984     0.154     0.083     1.224     4.961
   5   3  -2   4   0.86572  19545.66  43.84969     2.484     2.546   358.397     0.154     0.084     1.224    24.260
   3   3   2   4   0.86566  19544.37  50.59195     2.512     2.569   358.303     0.154     0.084     1.224    24.526
