PWDR PG3_45614_200K.gsa Bank 1 Manganese oxide  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
  13   5   3  48   0.31150   7032.83   8.57475     0.000     0.852    -2.487     0.428    -0.043     0.440    -0.000
  10  10   2  24   0.31074   7015.57   8.54887     0.000     0.004    -1.231     0.429    -0.046     0.439    -0.000
  14   2   2  24   0.31074   7015.57   8.54887     0.000     0.004    -1.231     0.429    -0.046     0.439    -0.000
  12   8   0  24   0.30774   6947.78   8.44568     0.000     0.005    -1.184     0.433    -0.062     0.435    -0.000
   9   9   7  24   0.30554   6898.20   8.36862     0.000     0.764    -1.151     0.436    -0.073     0.432    -0.000
  11   9   3  48   0.30554   6898.20   8.36862     0.000     0.764    -2.302     0.436    -0.073     0.432    -0.000
  12   8   2  48   0.30482   6881.91   8.34300     0.000     0.005    -2.280     0.437    -0.077     0.431    -0.000
  14   4   0  24   0.30482   6881.91   8.34300     0.000     0.005    -1.140     0.437    -0.077     0.431    -0.000
  10  10   4  24   0.30198   6817.89   8.24080     0.000     0.006    -1.098     0.441    -0.093     0.427    -0.000
  12   6   6  24   0.30198   6817.89   8.24080     0.000     0.006    -1.098     0.441    -0.093     0.427    -0.000
  14   4   2  48   0.30198   6817.89   8.24080     0.000     0.006    -2.197     0.441    -0.093     0.427    -0.000
  11   7   7  24   0.29991   6771.02   8.16445     0.000     0.686    -1.068     0.444    -0.106     0.424    -0.000
  13   7   1  48   0.29991   6771.02   8.16445     0.000     0.686    -2.137     0.444    -0.106     0.424    -0.000
  13   5   5  24   0.29991   6771.02   8.16445     0.000     0.686    -1.068     0.444    -0.106     0.424    -0.000
  12   8   4  48   0.29654   6695.02   8.03776     0.000     0.006    -2.042     0.449    -0.127     0.419    -0.000
  15   1   1  24   0.29458   6650.62   7.96207     0.000     0.616    -0.994     0.452    -0.141     0.416    -0.000
  11   9   5  48   0.29458   6650.62   7.96207     0.000     0.616    -1.989     0.452    -0.141     0.416    -0.000
  13   7   3  48   0.29458   6650.62   7.96207     0.000     0.616    -1.989     0.452    -0.141     0.416    -0.000
  10   8   8  24   0.29393   6636.02   7.93689     0.000     0.007    -0.986     0.453    -0.145     0.415    -0.000
  14   4   4  24   0.29393   6636.02   7.93689     0.000     0.007    -0.986     0.453    -0.145     0.415    -0.000
  14   6   0  24   0.29138   6578.56   7.83640     0.000     0.007    -0.952     0.457    -0.164     0.412    -0.000
  15   3   1  48   0.28952   6536.43   7.76129     0.000     0.553    -1.856     0.460    -0.178     0.409    -0.000
  10  10   6  24   0.28890   6522.56   7.73630     0.000     0.007    -0.920     0.461    -0.182     0.408    -0.000
  14   6   2  48   0.28890   6522.56   7.73630     0.000     0.007    -1.840     0.461    -0.182     0.408    -0.000
   9   9   9   8   0.28471   6427.92   7.56195     0.000     0.496    -0.289     0.468    -0.217     0.402    -0.000
  11  11   1  24   0.28471   6427.92   7.56195     0.000     0.496    -0.868     0.468    -0.217     0.402    -0.000
  13   7   5  48   0.28471   6427.92   7.56195     0.000     0.496    -1.736     0.468    -0.217     0.402    -0.000
  15   3   3  24   0.28471   6427.92   7.56195     0.000     0.496    -0.868     0.468    -0.217     0.402    -0.000
  12   8   6  48   0.28413   6414.73   7.53712     0.000     0.008    -1.721     0.469    -0.222     0.402    -0.000
  12  10   0  24   0.28413   6414.73   7.53712     0.000     0.008    -0.861     0.469    -0.222     0.402    -0.000
  12  10   2  48   0.28183   6362.78   7.43801     0.000     0.008    -1.666     0.473    -0.242     0.398    -0.000
  14   6   4  48   0.28183   6362.78   7.43801     0.000     0.008    -1.666     0.473    -0.242     0.398    -0.000
  11   9   7  48   0.28014   6324.64   7.36386     0.000     0.446    -1.627     0.476    -0.258     0.396    -0.000
  11  11   3  24   0.28014   6324.64   7.36386     0.000     0.446    -0.813     0.476    -0.258     0.396    -0.000
  13   9   1  48   0.28014   6324.64   7.36386     0.000     0.446    -1.627     0.476    -0.258     0.396    -0.000
  15   5   1  48   0.28014   6324.64   7.36386     0.000     0.446    -1.627     0.476    -0.258     0.396    -0.000
  16   0   0   6   0.27739   6262.56   7.24061     0.000     0.009    -0.195     0.480    -0.285     0.392    -0.000
  13   9   3  48   0.27578   6226.18   7.16684     0.000     0.401    -1.528     0.483    -0.301     0.390    -0.000
  15   5   3  48   0.27578   6226.18   7.16684     0.000     0.401    -1.528     0.483    -0.301     0.390    -0.000
  12  10   4  48   0.27525   6214.20   7.14227     0.000     0.009    -1.516     0.484    -0.307     0.389    -0.000
  14   8   0  24   0.27525   6214.20   7.14227     0.000     0.009    -0.758     0.484    -0.307     0.389    -0.000
  16   2   0  24   0.27525   6214.20   7.14227     0.000     0.009    -0.758     0.484    -0.307     0.389    -0.000
  10  10   8  24   0.27315   6166.93   7.04415     0.000     0.009    -0.735     0.488    -0.330     0.386    -0.000
  14   8   2  48   0.27315   6166.93   7.04415     0.000     0.009    -1.470     0.488    -0.330     0.386    -0.000
  16   2   2  24   0.27315   6166.93   7.04415     0.000     0.009    -0.735     0.488    -0.330     0.386    -0.000
  11  11   5  24   0.27162   6132.19   6.97069     0.000     0.360    -0.719     0.491    -0.347     0.384    -0.000
  13   7   7  24   0.27162   6132.19   6.97069     0.000     0.360    -0.719     0.491    -0.347     0.384    -0.000
  14   6   6  24   0.27111   6120.73   6.94622     0.000     0.009    -0.713     0.491    -0.353     0.383    -0.000
  12   8   8  24   0.26911   6075.55   6.84845     0.000     0.009    -0.693     0.495    -0.377     0.380    -0.000
  16   4   0  24   0.26911   6075.55   6.84845     0.000     0.009    -0.693     0.495    -0.377     0.380    -0.000
  13   9   5  48   0.26764   6042.32   6.77521     0.000     0.324    -1.355     0.498    -0.395     0.378    -0.000
  15   5   5  24   0.26764   6042.32   6.77521     0.000     0.324    -0.678     0.498    -0.395     0.378    -0.000
  15   7   1  48   0.26764   6042.32   6.77521     0.000     0.324    -1.355     0.498    -0.395     0.378    -0.000
  14   8   4  48   0.26715   6031.36   6.75081     0.000     0.010    -1.345     0.499    -0.401     0.378    -0.000
  16   4   2  48   0.26715   6031.36   6.75081     0.000     0.010    -1.345     0.499    -0.401     0.378    -0.000
PWDR PG3_45614_200K.gsa Bank 1 Mn3Ga_CmCm  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   5   0   4   1.78048  40194.92 164.54804     4.532     3.850  1515.516     0.075     0.032     2.517    12.875
   2   4   0   4   1.76891  39933.95 162.37236     4.101     3.846  1476.532     0.075     0.032     2.500    11.352
   3   1   0   4   1.75013  39510.07 158.86709     3.893     3.842  1414.822     0.076     0.032     2.474    10.325
   1   3   2   8   1.69567  38280.78 148.90162    21.392    18.130  2493.527     0.079     0.033     2.397   100.000
   2   0   2   4   1.68568  38055.14 147.10482    18.101    18.116  1217.622     0.079     0.034     2.383    41.319
   1   5   1   8   1.64755  37194.68 140.34516    11.975    14.305  2222.318     0.081     0.035     2.329    49.889
   2   4   1   8   1.63838  36987.61 138.74028    15.264    14.296  2173.232     0.081     0.035     2.316    62.186
   3   1   1   8   1.62343  36650.04 136.14224    14.311    14.278  2094.964     0.082     0.035     2.295    56.208
   0   4   2   4   1.59867  36091.15 131.89049     0.327     0.525   985.025     0.083     0.036     2.260     0.604
   2   2   2   8   1.58751  35839.44 129.99586     0.522     0.523  1915.656     0.084     0.036     2.244     1.876
   0   6   0   2   1.57368  35527.06 127.66203    17.650    18.017   462.431     0.085     0.037     2.224    15.301
   3   3   0   4   1.55003  34993.42 123.72010    19.186    17.977   870.526     0.086     0.037     2.191    31.312
   0   6   1   4   1.47965  33404.60 112.31973     0.085     0.089   722.851     0.090     0.040     2.092     0.115
   3   3   1   8   1.45994  32959.85 109.21894     0.069     0.089  1370.224     0.091     0.040     2.064     0.177
   0   2   3   4   1.38484  31264.45  97.76298    15.435    12.854   554.641     0.096     0.043     1.958    16.049
   1   1   3   8   1.38301  31223.20  97.49143    15.843    12.851  1103.437     0.096     0.043     1.955    32.774
   1   5   2   8   1.37717  31091.45  96.62657     4.957     3.706  1084.929     0.097     0.044     1.947    10.081
   2   4   2   8   1.37180  30970.20  95.83369     4.618     3.702  1068.101     0.097     0.044     1.939     9.247
   3   1   2   8   1.36299  30771.23  94.53903     4.068     3.698  1040.912     0.098     0.044     1.927     7.938
   2   6   0   4   1.35591  30611.57  93.50593     1.975     2.044   509.737     0.098     0.044     1.917     1.887
   4   0   0   2   1.33575  30156.31  90.58859     5.138     2.042   240.040     0.100     0.045     1.888     2.312
   1   7   0   4   1.30783  29526.17  86.62002     2.485     4.683   441.189     0.102     0.047     1.849     2.055
   3   5   0   4   1.29566  29251.50  84.91548     5.386     4.675   424.998     0.103     0.047     1.831     4.291
   2   6   1   8   1.29437  29222.33  84.73536     0.000     0.000   846.609     0.103     0.047     1.830     0.000
   4   2   0   4   1.28529  29017.35  83.47456     3.874     4.667   411.551     0.104     0.048     1.817     2.989
   1   3   3   8   1.27770  28845.99  82.42707     0.000     0.000   803.827     0.104     0.048     1.806     0.000
   0   6   2   4   1.27452  28774.18  81.98992    16.347    17.352   397.926     0.105     0.048     1.802    12.195
   3   3   2   8   1.26186  28488.46  80.26106    17.178    17.313   764.706     0.106     0.049     1.784    24.627
   1   7   1   8   1.25235  28273.69  78.97247    12.624    12.497   741.902     0.106     0.049     1.770    17.558
   3   5   1   8   1.24165  28032.23  77.53513    12.427    12.472   716.879     0.107     0.050     1.755    16.701
   0   4   3   4   1.23463  27873.62  76.59747     1.599     1.543   350.395     0.108     0.050     1.745     1.051
   4   2   1   8   1.23251  27825.96  76.31671    10.565    12.451   696.008     0.108     0.051     1.742    13.785
   2   2   3   8   1.22947  27757.18  75.91241     1.378     1.543   689.151     0.108     0.051     1.738     1.780
   0   8   0   2   1.18026  26646.29  69.51740     0.083     0.500   146.316     0.113     0.054     1.668     0.023
   4   4   0   4   1.16253  26246.03  67.27601     0.117     0.502   275.440     0.115     0.055     1.643     0.060
   2   6   2   8   1.15031  25970.38  65.75186     1.429     2.014   528.097     0.116     0.056     1.626     1.414
   0   8   1   4   1.13900  25714.86  64.35322     0.737     1.499   253.808     0.117     0.056     1.610     0.351
   4   0   2   4   1.13792  25690.65  64.22141     0.980     2.012   252.853     0.117     0.057     1.609     0.464
   1   5   3   8   1.12365  25368.50  62.47922    11.672    13.272   480.812     0.119     0.058     1.588    10.521
   4   4   1   8   1.12304  25354.57  62.40438     1.334     1.495   479.757     0.119     0.058     1.587     1.200
   2   4   3   8   1.12073  25302.51  62.12503    12.513    13.263   475.828     0.119     0.058     1.584    11.162
   1   7   2   8   1.12052  25297.69  62.09920     4.288     4.511   475.466     0.119     0.058     1.584     3.822
   3   1   3   8   1.11591  25193.65  61.54281    13.066    13.247   467.692     0.119     0.058     1.577    11.456
   3   5   2   8   1.11284  25124.29  61.17312     4.961     4.503   462.562     0.120     0.058     1.573     4.302
   4   2   2   8   1.10624  24975.46  60.38330     3.761     4.495   451.698     0.120     0.059     1.564     3.185
   0   0   4   2   1.08642  24527.97  58.03678     1.284     2.045   105.045     0.123     0.060     1.536     0.253
   2   8   0   4   1.07959  24373.80  57.23823     3.832     5.626   204.858     0.123     0.061     1.526     1.472
   3   7   0   4   1.07528  24276.45  56.73662     2.972     5.617   201.604     0.124     0.061     1.520     1.123
   0   6   3   4   1.06578  24061.97  55.63857     0.091     0.084   194.573     0.125     0.062     1.507     0.033
   5   1   0   4   1.06182  23972.61  55.18401     3.946     5.596   191.698     0.125     0.062     1.501     1.418
   0   2   4   4   1.05875  23903.27  54.83245     4.070     4.469   189.490     0.126     0.063     1.497     1.446
   3   3   3   8   1.05834  23894.14  54.78626     0.077     0.083   378.401     0.126     0.063     1.496     0.054
   1   1   4   8   1.05793  23884.82  54.73907     4.147     4.468   377.811     0.126     0.063     1.495     2.937
   2   8   1   8   1.04774  23654.84  53.58143    10.358    11.032   363.467     0.127     0.064     1.481     7.058
   3   7   1   8   1.04380  23565.83  53.13642    13.148    11.019   358.027     0.128     0.064     1.475     8.825
   0   8   2   4   1.03713  23415.24  52.38749     0.911     0.493   174.481     0.128     0.065     1.466     0.298
   5   1   1   8   1.03147  23287.60  51.75649    10.767    10.975   341.414     0.129     0.065     1.458     6.891
   1   9   0   4   1.02946  23242.09  51.53240    16.225    16.247   169.377     0.129     0.065     1.455     5.152
   4   4   2   8   1.02504  23142.25  51.04231     0.700     0.494   332.969     0.130     0.066     1.449     0.437
   4   6   0   4   1.01836  22991.46  50.30625    22.159    16.189   162.187     0.131     0.066     1.440     6.738
   5   3   0   4   1.01187  22844.92  49.59569    18.299    16.153   158.092     0.132     0.067     1.430     5.423
   1   3   4   8   1.00850  22768.91  49.22894    19.022    16.194   311.995     0.132     0.067     1.426    11.126
   2   0   4   4   1.00638  22721.16  48.99923    18.274    16.182   154.693     0.132     0.067     1.423     5.300
   1   9   1   8   1.00173  22616.22  48.49613     0.092     0.081   303.709     0.133     0.068     1.416     0.053
   4   6   1   8   0.99150  22385.10  47.39668     0.113     0.081   291.483     0.134     0.069     1.402     0.062
   2   6   3   8   0.98991  22349.25  47.22718     0.000     0.000   289.620     0.135     0.069     1.399     0.000
   0   4   4   4   0.98691  22281.52  46.90778     0.684     0.502   143.062     0.135     0.069     1.395     0.183
   5   3   1   8   0.98550  22249.78  46.75845     0.101     0.081   284.498     0.135     0.069     1.393     0.054
   2   2   4   8   0.98427  22221.91  46.62749     0.598     0.500   283.075     0.135     0.070     1.391     0.318
   1   7   3   8   0.97073  21916.20  45.20252    12.849    11.589   267.815     0.137     0.071     1.372     6.451
   2   8   2   8   0.96683  21828.17  44.79606     5.635     5.422   263.537     0.138     0.071     1.367     2.784
   3   5   3   8   0.96572  21803.17  44.68096    10.988    11.566   262.332     0.138     0.071     1.365     5.404
   3   7   2   8   0.96373  21758.17  44.47410     4.953     5.414   260.173     0.138     0.072     1.362     2.416
   4   2   3   8   0.96140  21705.69  44.23346    10.294    11.546   257.672     0.139     0.072     1.359     4.972
   5   1   2   8   0.95400  21538.60  43.47143     3.992     5.394   249.828     0.140     0.073     1.349     1.870
   0  10   0   2   0.94421  21317.46  42.47260     2.404     2.514    59.931     0.141     0.074     1.335     0.270
   1   9   2   8   0.93032  21004.11  41.07643    15.626    15.647   225.936     0.143     0.075     1.315     6.619
   5   5   0   4   0.93002  20997.24  41.04608     2.526     2.499   112.820     0.143     0.075     1.315     0.534
   1   5   4   8   0.92740  20938.17  40.78552     4.454     3.305   223.112     0.144     0.076     1.311     1.863
   2   4   4   8   0.92576  20901.02  40.62206     4.368     3.302   221.532     0.144     0.076     1.309     1.814
   3   1   4   8   0.92303  20839.54  40.35226     3.430     3.298   218.937     0.144     0.076     1.305     1.408
   0  10   1   4   0.92268  20831.46  40.31688    13.542    13.496   109.299     0.144     0.076     1.304     2.775
   4   6   2   8   0.92211  20818.58  40.26050    15.393    15.591   218.058     0.144     0.076     1.303     6.293
   5   3   2   8   0.91728  20709.60  39.78493    14.446    15.556   213.527     0.145     0.077     1.297     5.783
   0   8   3   4   0.91499  20657.96  39.56055     1.636     1.455   105.703     0.146     0.077     1.293     0.324
   5   5   1   8   0.90943  20532.34  39.01735    11.041    13.412   206.309     0.147     0.078     1.286     4.270
   4   4   3   8   0.90666  20469.77  38.74817     1.503     1.450   203.806     0.147     0.078     1.282     0.574
   3   9   0   4   0.90394  20408.52  38.48558    15.201    15.285   100.689     0.147     0.079     1.278     2.869
   0   6   4   4   0.89406  20185.30  37.53610    17.856    15.501    96.355     0.149     0.080     1.264     3.225
   6   0   0   2   0.89050  20104.99  37.19739    16.574    15.184    47.415     0.150     0.080     1.259     1.473
   2  10   0   4   0.89024  20099.12  37.17269     0.507     0.473    94.720     0.150     0.080     1.258     0.090
   3   3   4   8   0.88965  20085.92  37.11720    16.352    15.466   188.942     0.150     0.080     1.258     5.792
   3   9   1   8   0.88500  19980.86  36.67697     0.000     0.000   185.020     0.151     0.081     1.251     0.000
   4   8   0   4   0.88446  19968.60  36.62578     0.672     0.470    92.283     0.151     0.081     1.250     0.116
   6   2   0   4   0.87507  19756.62  35.74628     0.556     0.470    88.426     0.152     0.082     1.237     0.092
