PWDR PG3_45598.gsa Bank 1 Mn3Ga  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   5   3   4  24   0.57009  12871.52  14.79943     0.481     0.512   378.440     0.234     0.141     0.806     0.027
   6   3   2  24   0.56953  12858.79  14.77861     1.781     1.990   376.945     0.234     0.141     0.805     0.101
   5   2   5  24   0.56841  12833.57  14.73759     0.009     0.008   373.997     0.234     0.141     0.803     0.000
   7   2   1  24   0.56729  12808.37  14.69689     1.388     1.649   371.067     0.235     0.142     0.802     0.078
   3   3   6  12   0.56546  12766.92  14.63057     1.956     1.963   183.144     0.236     0.142     0.799     0.054
   8   0   2  12   0.56536  12764.75  14.62713     0.078     0.079   183.019     0.236     0.142     0.799     0.002
   4   2   6  24   0.56138  12674.87  14.48609     0.085     0.079   355.837     0.237     0.143     0.794     0.005
   3   1   7  24   0.56129  12672.89  14.48302     1.570     1.445   355.614     0.237     0.143     0.793     0.084
   6   2   4  24   0.55783  12594.64  14.36328     0.059     0.082   346.912     0.239     0.144     0.789     0.003
   5   4   3  24   0.55426  12514.01  14.24273     1.298     1.326   338.113     0.240     0.145     0.783     0.066
   7   2   2  24   0.55339  12494.57  14.21409     0.383     0.355   336.017     0.241     0.145     0.782     0.019
   6   1   5  24   0.55237  12471.43  14.18023     1.428     1.359   333.535     0.241     0.145     0.781     0.072
   5   1   6  24   0.54966  12410.23  14.09178     0.494     0.439   327.036     0.242     0.146     0.777     0.024
   4   0   7  12   0.54958  12408.37  14.08911     0.285     0.253   163.420     0.242     0.146     0.777     0.007
   8   1   0  12   0.54815  12376.09  14.04313     0.402     0.390   161.726     0.243     0.146     0.775     0.010
   6   3   3  24   0.54665  12342.34  13.99554     0.006     0.007   319.938     0.244     0.146     0.773     0.000
   0   0   8   2   0.54460  12296.05  13.93105     0.396     0.345    26.264     0.245     0.147     0.770     0.002
   8   1   1  24   0.54386  12279.29  13.90791     1.484     1.466   313.450     0.245     0.147     0.769     0.070
   8   0   3  12   0.54297  12259.12  13.88024     0.351     0.271   155.698     0.245     0.147     0.768     0.008
   1   0   8  12   0.54096  12213.75  13.81861     0.568     0.479   153.406     0.246     0.148     0.765     0.013
   5   5   0   6   0.54079  12209.96  13.81350     2.116     1.815    76.608     0.246     0.148     0.764     0.024
   7   1   4  24   0.53904  12170.40  13.76052     1.992     1.821   302.479     0.247     0.148     0.762     0.091
   3   2   7  24   0.53857  12159.76  13.74637     1.465     1.319   301.422     0.247     0.148     0.761     0.067
PWDR PG3_45598.gsa Bank 1 MnO  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   1   1   8   2.56652  57934.61 343.56381    14.555    12.951  3794.243     0.052     0.022     3.628   100.000
   2   0   0   6   2.22267  50174.78 257.74539     0.548     0.578  1600.696     0.060     0.025     3.142     1.587
   2   2   0  12   1.57166  35481.50 127.32436     0.623     0.494   800.348     0.085     0.037     2.222     0.903
   3   1   1  24   1.34032  30259.49  91.24631    13.389     9.394   846.649     0.099     0.045     1.895    20.527
   2   2   2   8   1.28326  28971.44  83.19334     0.389     0.422   237.140     0.104     0.048     1.814     0.167
   4   0   0   6   1.11133  25090.46  60.99284     0.282     0.361   100.044     0.120     0.058     1.571     0.051
   3   3   1  24   1.01983  23024.81  50.46811     8.686     6.815   283.780     0.131     0.066     1.442     4.463
   4   2   0  24   0.99401  22441.87  47.66513     0.219     0.309   256.111     0.134     0.069     1.405     0.102
   4   2   2  24   0.90740  20486.71  38.82037     0.237     0.264   177.855     0.147     0.078     1.283     0.076
   3   3   3   8   0.85551  19315.15  33.94955     7.409     4.943    46.843     0.156     0.085     1.209     0.628
   5   1   1  24   0.85551  19315.15  33.94955     7.409     4.943   140.528     0.156     0.085     1.209     1.885
   4   4   0  12   0.78583  17742.21  27.96160     0.199     0.193    50.022     0.170     0.096     1.111     0.018
   5   3   1  48   0.75140  16964.85  25.26078     5.867     3.586   167.256     0.177     0.102     1.062     1.777
   4   4   2  24   0.74089  16727.59  24.47399     0.133     0.165    79.047     0.180     0.104     1.047     0.019
   6   0   0   6   0.74089  16727.59  24.47399     0.133     0.165    19.762     0.180     0.104     1.047     0.005
   6   2   0  24   0.70287  15869.23  21.78782     0.168     0.141    64.028     0.190     0.111     0.994     0.020
   5   3   3  24   0.67791  15305.68  20.17278     3.081     2.601    55.405     0.197     0.116     0.958     0.309
   6   2   2  24   0.67016  15130.76  19.69748     0.108     0.121    52.916     0.199     0.118     0.947     0.010
   4   4   4   8   0.64163  14486.63  18.06054     0.105     0.103    14.821     0.208     0.124     0.907     0.003
   5   5   1  24   0.62247  14054.12  17.06645     3.229     1.887    39.387     0.214     0.129     0.880     0.230
   7   1   1  24   0.62247  14054.12  17.06645     3.229     1.887    39.387     0.214     0.129     0.880     0.230
   6   4   0  24   0.61646  13918.33  16.77241     0.086     0.088    37.886     0.216     0.130     0.871     0.006
   6   4   2  48   0.59403  13412.06  15.75331     0.072     0.075    65.335     0.224     0.135     0.840     0.008
   5   5   3  24   0.57873  13066.64  15.12794     2.427     1.369    29.430     0.230     0.139     0.818     0.129
   7   3   1  48   0.57873  13066.64  15.12794     2.427     1.369    58.859     0.230     0.139     0.818     0.259
   8   0   0   6   0.55567  12545.86  14.29001     0.048     0.055     6.253     0.240     0.144     0.785     0.001
   7   3   3  24   0.54308  12261.78  13.88388     1.256     0.993    22.821     0.245     0.147     0.768     0.052
   6   4   4  24   0.53908  12171.28  13.76169     0.052     0.047    22.155     0.247     0.148     0.762     0.002
   8   2   0  24   0.53908  12171.28  13.76169     0.052     0.047    22.155     0.247     0.148     0.762     0.002
PWDR PG3_45598.gsa Bank 1 Mn3Ga-mag_53  Reflection List 
   h   k   l   m   d-space       TOF       wid     Fo**2     Fc**2     Icorr      Prfo     Trans      ExtP      I100 
   1   1   0   4   4.68337 105693.65 1125.63904     2.561     2.272 71819.696     0.028     0.016     6.620    97.457
   0   2   0   2   4.68337 105693.65 1125.63904     0.000     0.000 35909.848     0.028     0.016     6.620     0.000
   0   0   1   2   4.35682  98327.66 976.66434     0.000     0.000 26894.073     0.031     0.016     6.159     0.000
   1   1   1   8   3.18994  72002.23 528.67233     6.104     5.824 30914.935     0.042     0.019     4.509   100.000
   0   2   1   4   3.18994  72002.23 528.67233     5.637     5.379 15457.468     0.042     0.019     4.509    46.180
   2   0   0   2   2.70395  61035.91 381.10871    10.305    10.457  3989.983     0.049     0.021     3.822    21.789
   1   3   0   4   2.70395  61035.91 381.10871     1.325     1.344  7979.966     0.049     0.021     3.822     5.603
   2   2   0   4   2.34169  52860.81 286.13471     0.063     0.061  4488.731     0.057     0.024     3.310     0.151
   0   4   0   2   2.34169  52860.81 286.13471     0.000     0.000  2244.365     0.057     0.024     3.310     0.000
   1   3   1   8   2.29745  51862.46 275.41989     0.007     0.010  8318.063     0.058     0.024     3.248     0.029
   2   0   1   4   2.29745  51862.46 275.41989     0.002     0.003  4159.032     0.058     0.024     3.248     0.004
   0   0   2   2   2.17841  49175.92 247.54461     0.138     0.106  1680.880     0.061     0.026     3.079     0.123
   2   2   1   8   2.06263  46563.01 221.77640     0.049     0.037  5404.159     0.065     0.027     2.916     0.141
   0   4   1   4   2.06263  46563.01 221.77640     0.032     0.024  2702.080     0.065     0.027     2.916     0.045
   0   2   2   4   1.97519  44589.51 203.19450     1.093     1.055  2272.207     0.067     0.028     2.792     1.316
   1   1   2   8   1.97519  44589.51 203.19450     0.798     0.770  4544.413     0.067     0.028     2.792     1.921
   3   1   0   4   1.77015  39961.57 162.60409     0.164     0.145  1465.708     0.075     0.032     2.502     0.127
   1   5   0   4   1.77015  39961.57 162.60409     0.685     0.607  1465.708     0.075     0.032     2.502     0.532
   2   4   0   4   1.77015  39961.57 162.60409     0.403     0.357  1465.708     0.075     0.032     2.502     0.313
   1   3   2   8   1.69637  38296.41 149.02814     1.438     1.400  2472.437     0.079     0.033     2.398     1.884
   2   0   2   4   1.69637  38296.41 149.02814     3.296     3.208  1236.219     0.079     0.033     2.398     2.159
   3   1   1   8   1.63996  37023.03 139.01557     0.306     0.322  2159.583     0.081     0.035     2.318     0.350
   1   5   1   8   1.63996  37023.03 139.01557     1.180     1.241  2159.583     0.081     0.035     2.318     1.350
   2   4   1   8   1.63996  37023.03 139.01557     1.045     1.099  2159.583     0.081     0.035     2.318     1.196
   2   2   2   8   1.59497  36007.56 131.26106     0.029     0.020  1932.183     0.084     0.036     2.255     0.029
   0   4   2   4   1.59497  36007.56 131.26106     0.001     0.000   966.092     0.084     0.036     2.255     0.000
   3   3   0   4   1.56112  35243.61 125.56216     1.208     1.174   886.663     0.085     0.037     2.207     0.567
   0   6   0   2   1.56112  35243.61 125.56216     0.000     0.000   443.331     0.085     0.037     2.207     0.000
   3   3   1   8   1.46963  33178.35 110.73805     0.000     0.001  1392.737     0.091     0.040     2.077     0.000
   0   6   1   4   1.46963  33178.35 110.73805     0.000     0.000   696.368     0.091     0.040     2.077     0.000
   0   0   3   2   1.45227  32786.59 108.02230     0.000     0.000   332.026     0.092     0.041     2.053     0.000
   1   1   3   8   1.38711  31315.77  98.10158     0.760     0.646  1105.316     0.096     0.043     1.961     0.445
   0   2   3   4   1.38711  31315.77  98.10158     1.102     0.938   552.658     0.096     0.043     1.961     0.323
   3   1   2   8   1.37378  31014.76  96.12500     0.150     0.122  1063.420     0.097     0.044     1.942     0.085
   1   5   2   8   1.37378  31014.76  96.12500     0.264     0.214  1063.420     0.097     0.044     1.942     0.149
   2   4   2   8   1.37378  31014.76  96.12500     0.257     0.209  1063.420     0.097     0.044     1.942     0.145
   4   0   0   2   1.35197  30522.56  92.93248     0.038     0.018   249.374     0.099     0.045     1.911     0.005
   2   6   0   4   1.35197  30522.56  92.93248     0.010     0.004   498.748     0.099     0.045     1.911     0.003
   3   5   0   4   1.29893  29325.29  85.37198     0.016     0.019   424.969     0.103     0.047     1.836     0.004
